delta,theta,alpha,beta,gamma,     deltaRIR,thetaRIR,alphaRIR,betaRIR,gammaRIR,     PFD,HFD,hjorth_mobility,hjorth_complexity,     spec_entropy,svd_entropy,fisher_info,     approx_entropy,DFA,Hurst
9.146127234388247373e+00,1.245595709875841200e-01,2.078703191681903484e-01,1.323610178590241659e+00,8.539200615237295011e+00,4.728790266018734756e-01,6.440060057451788174e-03,1.074744661522844015e-02,6.843415544218045543e-02,4.414993112832657496e-01,5.933705433020527442e-01,1.336854062222959882e+00,2.296257001966996170e-02,6.550200683797612555e+01,3.845376959175927922e-01,1.232800224439252190e+00,5.938512614048343519e-01,1.159670641502119799e-02,0.000000000000000000e+00,3.270407888388396356e-01
9.237801711012510353e+00,1.831331413443743616e-01,2.727520542480942889e-01,1.374714618514069508e+00,7.838586218512559434e+00,4.885919341712195996e-01,9.686003070798976378e-03,1.442599201662701086e-02,7.270934096718348338e-02,4.145867297741709367e-01,5.965898409605003838e-01,1.286487795301006098e+00,2.164043861683497341e-02,6.948663329896618279e+01,4.017536022596275291e-01,1.238536854975464951e+00,6.027156368007275944e-01,1.775119457592283512e-02,0.000000000000000000e+00,3.589914158616040463e-01
9.191973734899963944e+00,2.010318459729512064e-01,1.969334115551192310e-01,1.266697581260544769e+00,6.992505632190805009e+00,5.149812595404272830e-01,1.126282953287988976e-02,1.103321432949594394e-02,7.096686029221636882e-02,3.917558363049806758e-01,5.954969793383102505e-01,1.325995558089879900e+00,2.183085049449564122e-02,6.911622293242639614e+01,3.912875233752497461e-01,1.164618635143412018e+00,6.172522428682203355e-01,1.726028387741962433e-02,0.000000000000000000e+00,3.829839094650796527e-01
9.105619621710582479e+00,1.286926640275442013e-01,1.807220668242608408e-01,9.697274980380304887e-01,7.442976584877931678e+00,5.107557335253366526e-01,7.218675800820449802e-03,1.013712801981726634e-02,5.439430814781363865e-02,4.174941545062119119e-01,5.913189358121807571e-01,1.348682179449583129e+00,2.283186965837627480e-02,6.649474982817625346e+01,3.626533970574223886e-01,1.183009572266603637e+00,6.108382859363162831e-01,4.925403960792749253e-03,0.000000000000000000e+00,3.339821234941914851e-01
9.083692382750250260e+00,1.205419761927644384e-01,1.950379811283566855e-01,1.186760534566260183e+00,8.570771267059601684e+00,4.741757714679784574e-01,6.292384434332103094e-03,1.018113353802222072e-02,6.194981823628525897e-02,4.474008923233819823e-01,5.893374914205662396e-01,1.352521710093321339e+00,2.508059754439014369e-02,6.150747197954346746e+01,3.757360073361251107e-01,1.254382721726241101e+00,5.758808437593230245e-01,-5.630895827276247417e-04,0.000000000000000000e+00,3.360671287765910065e-01
9.041197741994711379e+00,1.190776515578882977e-01,2.295670710033467232e-01,1.230789146496713782e+00,9.480412803472750838e+00,4.497874615640052864e-01,5.923953457455197885e-03,1.142065388589744331e-02,6.123010929757068815e-02,4.716378217950713547e-01,5.913189358121807571e-01,1.324822762780446306e+00,2.545710922012515282e-02,6.079233465896927413e+01,3.801659464941731237e-01,1.321292459884342518e+00,5.686082984179943178e-01,6.309200385208738222e-03,0.000000000000000000e+00,3.247538606135080830e-01
9.009151047814663471e+00,7.218033207358058589e-02,1.635577135410552774e-01,1.257918334279134687e+00,8.004424932802949755e+00,4.867908324875934167e-01,3.900114866855550980e-03,8.837502569537952074e-03,6.796901393874198172e-02,4.325025361372712429e-01,5.923356877662105946e-01,1.339057466147296482e+00,2.519415765653380129e-02,5.995120231389287113e+01,3.707024922037582271e-01,1.224159240108786628e+00,5.680795431991244593e-01,-1.001832480790536273e-02,0.000000000000000000e+00,3.164513154445310894e-01
9.057337468579774509e+00,9.076215009140956025e-02,1.441340728808277460e-01,1.165610620970713107e+00,7.066645914909088333e+00,5.168388552839013883e-01,5.179160643961888515e-03,8.224722717195430063e-03,6.651323980575106487e-02,4.032440215491903124e-01,5.893374914205662396e-01,1.346746624600863029e+00,2.634967207135439568e-02,5.732925035562595895e+01,3.654336445055695326e-01,1.222751312640517840e+00,5.650052501565818730e-01,-2.388547033743245156e-03,0.000000000000000000e+00,3.397057153862058643e-01
9.059957447228979888e+00,9.120442886305868413e-02,1.358711834444745470e-01,1.078766445787837203e+00,6.800894316716578736e+00,5.277636766374069754e-01,5.312870946993770646e-03,7.914813699888135004e-03,6.284066442676169983e-02,3.961679742889495648e-01,5.903197182451456193e-01,1.362922234794393228e+00,2.602552745139818935e-02,5.900169091124394072e+01,3.587052108706451636e-01,1.203351201647234081e+00,5.726837053612822137e-01,1.347818978734708489e-02,0.000000000000000000e+00,3.158471898187603100e-01
9.088856054015874264e+00,1.274080096474130008e-01,1.799278958369536496e-01,1.076764164364258258e+00,8.663206031582630473e+00,4.749570985124998423e-01,6.657970841407515744e-03,9.402506854580397477e-03,5.626855351754824625e-02,4.527138702739639253e-01,5.903197182451456193e-01,1.345962335247930408e+00,2.626629191703427901e-02,5.875980939272313464e+01,3.683201706002691145e-01,1.272198924967292921e+00,5.635870013298919234e-01,3.729053116222805914e-02,0.000000000000000000e+00,3.344362532202891369e-01
9.107414374445079730e+00,1.247795701639814320e-01,1.814418092445037878e-01,1.165951747061654498e+00,8.860968800847480509e+00,4.684749877049196320e-01,6.418518494384212181e-03,9.333159320551552909e-03,5.997522544948655221e-02,4.557981090306579830e-01,5.893374914205662396e-01,1.349741066310202520e+00,2.634622761338350008e-02,5.910906188835151198e+01,3.728137926281375192e-01,1.280739352230917838e+00,5.622232383312432136e-01,3.152167810661916231e-02,0.000000000000000000e+00,2.842637531742518431e-01
